"model_name","category","problem_type","license_type","is_public","best_version","best_algorithm","best_f1","best_accuracy","best_vloss","datasets_used","deploy_status","deploy_env","deploy_server","deployed_at","lifecycle_status"
"TrafficFlow-DQN","Reinforcement Learning","Other","Proprietary",False,"v1.0.0","Deep Q-Network Core Policy","0.9251","0.9245","0.1245","NSE_Stock_Ticks_Daily","Production","Production","{""provider"": ""AWS"", ""instance"": ""g5.2xlarge"", ""region"": ""ap-south-1"", ""k8s_pod_count"": 4}","2026-06-02 10:00:00","LIVE & HIGH PERFORMING"
"MedicalSeg-Unet","Deep Learning","Computer Vision","CC-BY-4.0",False,NULL,NULL,NULL,NULL,NULL,NULL,"Production","Production","{""provider"": ""Azure"", ""instance"": ""Standard_NC6s_v3"", ""region"": ""centralindia""}","2026-06-04 09:15:00","LIVE - NEEDS ATTENTION"
"ClickThrough-LightGBM","Supervised Learning","Classification","MIT",False,NULL,NULL,NULL,NULL,NULL,NULL,"Production","Production","{""provider"": ""AWS"", ""instance"": ""inf1.2xlarge"", ""region"": ""ap-south-1"", ""replicas"": 2}","2026-06-05 14:00:00","LIVE - NEEDS ATTENTION"
"AudioTrans-Whisper","Deep Learning","NLP","Apache-2.0",False,NULL,NULL,NULL,NULL,NULL,NULL,"Production","Production","{""provider"": ""BareMetal"", ""cpu_cores"": 32, ""ram_gb"": 128, ""gpu"": ""RTX-4090""}","2026-06-05 16:45:00","LIVE - NEEDS ATTENTION"
"AnomalyNet-AutoEnc","Deep Learning","Clustering","MIT",False,"v1.0.0","Dense Convolutional Autoencoder","0.9771","0.8804","0.0583","Bengaluru_Real_Estate_Ledger | CC_Fraud_Synthetic_Logs | ECom_User_Clickstream_2025",NULL,NULL,NULL,NULL,"TRAINED - NOT DEPLOYED"
"HousePrice-Ridge","Supervised Learning","Regression","MIT",True,"v1.0.0","Ridge L2 Regression Matrix","0.9605","0.9680","0.0520","ECom_Product_Knowledge_Graph | Factory_Vibration_Sensors",NULL,NULL,NULL,NULL,"TRAINED - NOT DEPLOYED"
"FraudEye-XGBoost","Supervised Learning","Classification","Apache-2.0",False,"v1.0.0","XGBoost Classifier Tree","0.9575","0.9590","0.0650","Bengaluru_Real_Estate_Ledger | Brain_MRI_Volumetric_Scans | ECom_Product_Knowledge_Graph | Factory_Vibration_Sensors | Librispeech_Regional_Dialects | Telco_Customer_Profiles_Master",NULL,NULL,NULL,NULL,"TRAINED - NOT DEPLOYED"
"LabelBoost-LabelProp","Semi-Supervised Learning","Classification","Other",False,"v1.0.0","Sklearn Label Propagation Matrix","0.9460","0.9480","0.0810","NSE_Stock_Ticks_Daily","Rolled Back","Production","{""provider"": ""AWS"", ""instance"": ""g5.2xlarge"", ""reason"": ""High latency spike detected on input streaming payloads""}","2026-06-09 10:00:00","TRAINED - NOT DEPLOYED"
"Inventory-Prophet","Supervised Learning","Regression","MIT",True,"v1.0.0","Facebook Prophet Additive Regressor","0.9275","0.9310","0.1050","CC_Fraud_Synthetic_Logs | ECom_Product_Knowledge_Graph | ECom_User_Clickstream_2025 | Librispeech_Regional_Dialects | SCADA_Industrial_Anomalies","Failed","Staging","{""provider"": ""AWS"", ""instance"": ""g5.xlarge"", ""error"": ""CUDA initialization timeout / Out of Memory""}","2026-06-08 09:00:00","TRAINED - NOT DEPLOYED"
"UserGraph-Sage","Deep Learning","Other","Apache-2.0",True,"v1.0.0","GraphSAGE Inductive Layer","0.9275","0.9410","0.0980","CC_Fraud_Synthetic_Logs | Telco_Customer_Profiles_Master",NULL,NULL,NULL,NULL,"TRAINED - NOT DEPLOYED"
"CustomerSeg-KMeans","Unsupervised Learning","Clustering","MIT",True,"v1.0.0","K-Means Pipeline","0.9099","0.9130","0.1430","ECom_User_Clickstream_2025 | PubMed_Medical_QA_Pairs","Rolled Back","Production","{""provider"": ""Azure"", ""instance"": ""Standard_NC6s_v3"", ""reason"": ""Data drift detected on real-time inference vectors""}","2026-06-09 13:00:00","TRAINED - NOT DEPLOYED"
"DefectDetect-YOLO","Deep Learning","Object Detection","GPL-3.0",False,"v1.0.0","YOLOv8 Medium Checkpoint","0.8804","0.8830","0.2100","Bengaluru_Real_Estate_Ledger | Brain_MRI_Volumetric_Scans | Legal_Contracts_Corpus | Librispeech_Regional_Dialects | SCADA_Industrial_Anomalies | SmartCity_Traffic_Flow_Video",NULL,NULL,NULL,NULL,"TRAINED - NOT DEPLOYED"
"Logistics-PPO","Reinforcement Learning","Other","Proprietary",False,"v1.1.0","PPO Continuous Action Spaces Core","0.8024","0.8020","0.2990","CC_Fraud_Synthetic_Logs | Librispeech_Regional_Dialects | Telco_Customer_Profiles_Master",NULL,NULL,NULL,NULL,"TRAINED - NOT DEPLOYED"
"Sentitrade-RoBERTa","Deep Learning","NLP","MIT",True,"v1.1.0","Quantized Transformer Trunk","0.7345","0.7350","0.4320","FMCG_Inventory_Supply_Levels",NULL,NULL,NULL,NULL,"TRAINED - NOT DEPLOYED"
"DocuParse-BERT","Deep Learning","NLP","Apache-2.0",False,"v1.1.0","DistilBERT Distilled Core","0.7045","0.7050","0.4910","CC_Fraud_Synthetic_Logs",NULL,NULL,NULL,NULL,"TRAINED - NOT DEPLOYED"
"Llama-Custom-7B","Deep Learning","Generative","Other",False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NO COMPLETED RUNS"
"ChurnPredict-RF","Supervised Learning","Classification","Apache-2.0",True,NULL,NULL,NULL,NULL,NULL,NULL,"Failed","Staging","{""provider"": ""GCP"", ""instance"": ""n2-standard-4"", ""error"": ""Missing mandatory config JSON tokenizer file""}","2026-06-08 14:00:00","NO COMPLETED RUNS"
"Chronos-LSTM-v1","Deep Learning","Regression","MIT",True,NULL,NULL,NULL,NULL,NULL,NULL,"Staging","Staging","{""cluster"": ""k8s-staging-cluster-01"", ""namespace"": ""ml-shadow"", ""cpu_limit"": ""4000m""}","2026-06-07 11:00:00","NO COMPLETED RUNS"
"ImageGen-Diffusion","Deep Learning","Generative","Other",True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NO COMPLETED RUNS"
"Genetic-Scheduler","Other","Other","GPL-3.0",True,NULL,NULL,NULL,NULL,NULL,NULL,"Retired","Production","{""provider"": ""BareMetal"", ""node"": ""edge-infer-02"", ""reason"": ""End of brief scheduled A/B testing window""}","2026-06-10 11:00:00","NO COMPLETED RUNS"
